priority,delay,speed,congestion,weather,time_of_day,passenger_load,fuel_level,platform_available,distance_to_next,track_condition,historical_punctuality,decision
Local,20.4,67.2,4,Sunny,Peak,43.6,64.7,False,7.3,Damaged,50.2,Stop
Express,7.6,69.9,3,Sunny,Peak,44.6,68.4,False,1.4,Damaged,70.9,Stop
Freight,19.0,39.0,3,Sunny,Peak,33.5,58.2,False,5.4,Good,53.9,Move
Freight,22.0,53.8,6,Sunny,Peak,26.9,38.7,False,0.5,Maintenance,65.7,Stop
Local,6.3,76.9,4,Cloudy,Non-Peak,42.2,19.5,True,0.8,Good,75.8,Slow Down
Local,2.4,112.3,2,Stormy,Non-Peak,61.6,61.5,True,0.5,Good,57.0,Stop
Local,12.7,74.1,0,Cloudy,Non-Peak,30.5,77.3,True,9.5,Good,61.1,Move
Local,8.4,79.9,1,Cloudy,Peak,82.4,67.9,True,0.5,Damaged,56.3,Stop
Express,3.0,71.3,3,Foggy,Peak,49.9,40.1,True,0.5,Good,63.3,Slow Down
Express,0.8,80.2,9,Foggy,Non-Peak,37.5,34.8,False,1.3,Damaged,48.8,Stop
Freight,8.5,51.3,4,Stormy,Peak,13.0,74.9,True,6.0,Damaged,49.3,Stop
Local,11.1,84.2,3,Sunny,Peak,69.9,65.4,False,6.0,Damaged,50.4,Stop
Local,24.7,75.3,7,Cloudy,Non-Peak,22.6,97.8,False,5.1,Maintenance,47.5,Slow Down
Express,5.3,49.2,3,Cloudy,Peak,37.9,81.1,False,4.2,Maintenance,89.8,Slow Down
Local,7.4,34.7,5,Sunny,Non-Peak,31.9,21.9,True,9.9,Maintenance,26.9,Slow Down
Local,25.7,67.6,3,Sunny,Peak,25.1,78.5,False,7.4,Maintenance,85.8,Slow Down
Express,30.7,32.9,1,Cloudy,Non-Peak,41.7,10.9,False,7.6,Damaged,89.2,Stop
Freight,8.3,76.4,4,Stormy,Non-Peak,93.0,54.3,True,9.7,Maintenance,90.8,Stop
Freight,7.3,45.7,2,Stormy,Peak,43.7,39.2,False,3.5,Good,39.4,Stop
Freight,5.9,48.1,7,Sunny,Non-Peak,54.3,35.4,True,4.4,Damaged,61.8,Stop
Local,12.9,90.7,4,Rainy,Non-Peak,60.2,34.3,False,7.7,Maintenance,88.5,Slow Down
Local,23.6,78.2,4,Cloudy,Peak,81.6,74.9,False,5.3,Good,82.1,Move
Freight,2.6,30.2,5,Sunny,Non-Peak,17.7,10.6,False,5.7,Good,84.2,Stop
Local,33.7,76.2,3,Rainy,Non-Peak,38.6,31.2,False,7.0,Maintenance,83.1,Slow Down
Express,40.1,67.5,2,Cloudy,Non-Peak,50.5,54.1,True,0.6,Damaged,48.5,Stop
Local,2.6,12.4,4,Rainy,Non-Peak,65.9,12.4,True,20.0,Good,75.1,Stop
Local,6.6,61.8,5,Rainy,Non-Peak,47.6,38.9,True,2.8,Good,54.8,Slow Down
Express,29.3,47.2,2,Rainy,Non-Peak,48.0,48.0,True,0.5,Good,38.4,Slow Down
Express,6.4,48.0,2,Sunny,Non-Peak,69.3,63.2,True,11.1,Damaged,50.1,Stop
Express,6.1,83.7,2,Stormy,Non-Peak,22.8,94.1,False,1.4,Maintenance,75.8,Stop
Local,11.4,98.9,2,Foggy,Non-Peak,49.5,94.7,True,6.7,Damaged,59.3,Stop
Freight,9.1,75.1,3,Stormy,Peak,53.9,67.9,True,2.5,Good,78.3,Stop
Local,1.5,66.0,7,Stormy,Non-Peak,14.4,76.1,True,12.7,Damaged,82.7,Stop
Freight,32.2,51.7,3,Stormy,Peak,37.5,80.6,False,7.6,Good,52.9,Stop
Local,0.3,60.2,1,Cloudy,Non-Peak,89.9,60.3,False,2.3,Damaged,42.3,Stop
Express,1.7,46.7,3,Sunny,Peak,48.2,21.2,False,3.5,Damaged,72.0,Stop
Express,5.5,48.2,4,Foggy,Non-Peak,37.9,13.0,False,4.7,Good,69.9,Stop
Local,10.4,65.7,6,Foggy,Peak,54.0,54.0,False,8.6,Maintenance,94.0,Slow Down
Local,31.8,42.0,3,Foggy,Non-Peak,60.5,92.7,True,0.5,Maintenance,67.1,Slow Down
Freight,10.5,60.4,3,Rainy,Non-Peak,38.9,61.2,False,5.7,Maintenance,91.3,Slow Down
Freight,14.8,76.5,2,Foggy,Non-Peak,44.4,35.9,True,11.8,Damaged,65.1,Stop
Express,15.9,77.6,2,Cloudy,Peak,48.8,11.4,True,10.6,Damaged,60.8,Stop
Freight,7.7,46.9,2,Rainy,Non-Peak,40.5,37.6,False,1.0,Good,63.2,Slow Down
Express,1.6,104.7,3,Rainy,Non-Peak,35.6,40.0,True,1.8,Good,67.9,Slow Down
Freight,43.3,79.8,1,Stormy,Peak,82.5,47.4,False,0.6,Maintenance,89.7,Stop
Freight,1.8,82.4,2,Foggy,Peak,38.7,84.6,False,1.7,Good,43.0,Slow Down
Local,8.4,44.5,1,Rainy,Peak,54.4,31.8,True,1.6,Maintenance,52.3,Slow Down
Freight,24.0,59.1,5,Sunny,Non-Peak,42.4,73.6,False,1.7,Maintenance,76.2,Slow Down
Freight,1.3,55.8,4,Foggy,Non-Peak,82.5,74.3,False,1.2,Good,81.9,Slow Down
Freight,2.0,59.7,2,Sunny,Non-Peak,33.0,10.9,True,17.0,Damaged,97.5,Stop
Local,18.5,51.6,4,Cloudy,Peak,48.7,59.3,False,14.3,Maintenance,77.4,Slow Down
Freight,0.6,55.3,2,Cloudy,Non-Peak,31.0,33.6,False,3.4,Good,71.1,Move
Freight,10.6,47.8,2,Cloudy,Non-Peak,70.6,72.5,False,14.2,Damaged,48.4,Stop
Express,20.6,12.2,1,Rainy,Non-Peak,56.8,45.5,False,2.8,Damaged,85.3,Stop
Local,9.4,57.2,2,Cloudy,Non-Peak,76.8,14.9,True,14.1,Good,75.7,Stop
Express,1.8,57.5,4,Foggy,Peak,28.9,96.8,False,10.6,Maintenance,60.2,Slow Down
Local,5.0,29.8,3,Foggy,Non-Peak,78.6,43.1,False,10.8,Maintenance,39.6,Slow Down
Freight,32.5,20.9,5,Foggy,Non-Peak,41.6,58.5,False,1.1,Good,74.7,Slow Down
Express,6.2,34.0,2,Sunny,Peak,22.9,73.8,True,0.5,Damaged,81.2,Stop
Freight,13.0,86.9,6,Sunny,Peak,77.2,62.1,True,1.0,Maintenance,67.6,Slow Down
Express,7.5,73.4,2,Sunny,Peak,16.1,72.2,False,10.9,Damaged,84.6,Stop
Express,7.1,89.3,5,Sunny,Non-Peak,48.5,15.5,True,9.3,Good,64.7,Slow Down
Freight,12.3,52.4,3,Cloudy,Peak,9.0,70.1,True,5.2,Damaged,93.2,Stop
Freight,11.3,88.5,5,Foggy,Peak,30.5,97.4,True,4.3,Damaged,79.8,Stop
Freight,0.4,38.7,0,Stormy,Peak,71.8,47.6,True,0.9,Damaged,93.0,Stop
Express,5.5,62.6,8,Sunny,Peak,79.1,46.9,False,3.5,Maintenance,88.3,Slow Down
Freight,2.6,54.1,3,Stormy,Non-Peak,79.5,69.4,False,6.6,Good,92.3,Stop
Local,5.7,55.1,1,Cloudy,Peak,78.9,83.1,False,7.6,Damaged,32.6,Stop
Local,2.3,80.6,2,Cloudy,Non-Peak,30.6,69.4,False,2.0,Maintenance,82.9,Slow Down
Freight,0.7,41.6,3,Cloudy,Peak,17.9,60.5,True,7.3,Maintenance,59.4,Slow Down
Freight,9.7,57.9,5,Foggy,Non-Peak,20.7,65.2,False,0.5,Good,87.6,Stop
Freight,17.8,88.6,4,Sunny,Peak,25.4,76.7,True,1.9,Maintenance,80.5,Slow Down
Freight,1.6,76.8,1,Stormy,Peak,8.5,60.5,False,0.6,Maintenance,59.6,Stop
Freight,1.0,100.1,1,Sunny,Non-Peak,20.2,17.2,False,14.0,Damaged,78.2,Stop
Express,0.9,40.0,5,Sunny,Non-Peak,58.5,59.7,True,0.5,Maintenance,60.5,Slow Down
Local,6.0,63.0,4,Stormy,Non-Peak,41.0,88.3,True,2.7,Good,37.4,Stop
Local,3.4,79.2,4,Stormy,Non-Peak,61.1,72.3,True,7.6,Maintenance,85.7,Stop
Express,1.9,38.4,3,Stormy,Peak,43.5,59.0,False,4.7,Maintenance,66.6,Stop
Local,19.3,73.5,4,Cloudy,Non-Peak,48.0,66.5,False,0.8,Good,51.5,Stop
Express,9.9,44.2,3,Rainy,Peak,36.6,67.2,False,14.6,Good,53.8,Slow Down
Local,0.6,79.2,3,Stormy,Non-Peak,28.5,75.9,False,0.9,Damaged,57.4,Stop
Local,4.4,66.5,2,Stormy,Peak,52.6,97.0,False,15.0,Good,81.3,Stop
Express,8.5,63.7,3,Sunny,Peak,54.4,77.5,True,0.5,Good,43.4,Slow Down
Freight,15.1,27.7,3,Foggy,Peak,28.0,27.3,False,3.0,Damaged,88.0,Stop
Express,20.5,48.9,3,Rainy,Peak,58.4,82.9,True,4.2,Good,90.2,Slow Down
Freight,18.5,46.8,5,Rainy,Non-Peak,65.5,51.6,False,1.0,Maintenance,77.7,Slow Down
Freight,1.6,90.2,5,Foggy,Non-Peak,13.0,66.5,True,7.3,Maintenance,56.3,Slow Down
Express,7.9,78.5,5,Rainy,Peak,52.4,96.0,False,1.9,Maintenance,74.3,Slow Down
Express,11.2,48.3,0,Cloudy,Non-Peak,78.1,56.0,True,0.9,Good,54.6,Slow Down
Freight,33.0,108.4,3,Stormy,Peak,49.0,42.6,True,20.0,Damaged,56.4,Stop
Express,15.2,76.9,2,Stormy,Non-Peak,50.4,23.5,True,2.0,Damaged,82.8,Stop
Express,11.8,37.9,3,Rainy,Non-Peak,62.1,70.2,True,6.9,Damaged,81.2,Stop
Local,15.8,47.9,2,Rainy,Non-Peak,58.1,67.8,False,2.0,Damaged,72.9,Stop
Freight,7.6,29.6,5,Foggy,Peak,87.7,96.4,True,6.6,Damaged,80.1,Stop
Local,13.5,64.5,4,Cloudy,Peak,50.1,53.9,False,2.4,Maintenance,47.8,Slow Down
Local,1.5,38.5,7,Foggy,Peak,58.6,58.6,False,4.7,Good,81.1,Slow Down
Local,33.8,62.8,4,Rainy,Peak,50.4,52.1,True,2.2,Damaged,44.5,Stop
Freight,6.2,82.9,3,Foggy,Peak,17.8,73.2,True,0.5,Maintenance,70.8,Slow Down
Local,6.2,70.9,3,Sunny,Non-Peak,67.2,86.3,True,9.9,Good,66.6,Move
Express,6.1,75.8,3,Cloudy,Non-Peak,44.9,14.6,True,4.0,Maintenance,57.0,Stop
Express,2.5,50.3,3,Rainy,Peak,76.4,80.9,False,4.9,Good,90.9,Slow Down
Local,15.3,69.0,2,Cloudy,Non-Peak,65.6,27.3,True,0.5,Good,68.9,Slow Down
Freight,27.3,76.1,6,Rainy,Peak,64.3,98.0,True,3.6,Maintenance,45.6,Slow Down
Express,17.1,68.7,1,Foggy,Non-Peak,56.3,30.2,False,0.6,Damaged,72.1,Stop
Express,11.3,25.7,7,Sunny,Non-Peak,34.9,45.8,False,14.8,Damaged,74.5,Stop
Express,9.9,57.0,2,Foggy,Peak,39.4,62.1,False,0.5,Damaged,57.7,Stop
Freight,15.7,71.8,1,Cloudy,Non-Peak,34.1,19.4,False,20.0,Good,67.0,Move
Local,9.9,79.1,4,Rainy,Non-Peak,43.7,37.1,False,5.5,Damaged,52.4,Stop
Freight,6.8,59.2,0,Foggy,Peak,54.8,32.5,True,3.1,Damaged,76.0,Stop
Express,16.8,98.8,3,Stormy,Non-Peak,42.3,76.6,False,3.4,Damaged,75.0,Stop
Freight,6.9,40.9,3,Stormy,Peak,74.0,94.8,False,2.9,Damaged,70.2,Stop
Express,6.9,56.0,4,Sunny,Non-Peak,32.2,86.6,True,5.1,Maintenance,85.8,Slow Down
Local,1.9,31.4,4,Sunny,Non-Peak,56.5,87.9,True,8.6,Damaged,80.7,Stop
Local,19.7,55.7,1,Stormy,Peak,26.0,15.4,False,1.3,Maintenance,60.2,Stop
Freight,2.3,50.7,1,Foggy,Peak,21.8,22.2,True,0.8,Damaged,63.0,Stop
Local,0.1,51.3,1,Sunny,Peak,13.0,70.9,True,1.1,Good,68.7,Slow Down
Express,4.1,74.8,4,Rainy,Peak,38.8,22.3,False,1.1,Good,80.9,Slow Down
Express,0.0,63.9,1,Sunny,Non-Peak,45.7,90.8,False,3.0,Damaged,80.7,Stop
Local,1.8,34.7,3,Cloudy,Non-Peak,56.4,86.8,True,3.5,Maintenance,47.4,Slow Down
Express,10.1,73.3,0,Cloudy,Peak,70.0,33.8,True,5.4,Good,57.4,Move
Local,1.8,44.7,3,Stormy,Peak,46.9,55.1,False,2.4,Damaged,23.1,Stop
Express,3.2,64.6,2,Foggy,Non-Peak,15.2,98.5,False,1.8,Damaged,89.3,Stop
Express,3.6,90.0,2,Cloudy,Non-Peak,32.2,36.1,True,11.0,Damaged,81.3,Stop
Express,31.8,41.8,1,Foggy,Peak,40.5,21.0,True,8.1,Damaged,85.4,Stop
Express,15.7,55.2,4,Sunny,Peak,95.1,58.9,False,8.8,Good,77.7,Move
Express,15.0,66.1,4,Cloudy,Peak,78.7,25.3,True,0.5,Damaged,31.9,Stop
Local,42.3,51.8,2,Cloudy,Non-Peak,41.7,21.7,True,10.3,Damaged,94.5,Stop
Local,48.2,43.2,2,Foggy,Non-Peak,64.7,60.7,False,6.5,Good,82.6,Slow Down
Express,26.4,61.6,1,Rainy,Non-Peak,58.8,46.6,False,1.9,Damaged,79.6,Stop
Express,0.4,40.7,1,Cloudy,Non-Peak,49.5,12.9,False,7.0,Maintenance,70.3,Stop
Local,0.4,49.1,3,Foggy,Non-Peak,15.7,67.2,False,6.2,Damaged,87.7,Stop
Freight,13.2,73.3,6,Foggy,Peak,8.0,74.9,True,20.0,Maintenance,88.2,Slow Down
Local,1.8,64.2,3,Foggy,Non-Peak,65.0,45.6,False,0.5,Maintenance,82.6,Stop
Freight,0.9,61.7,8,Sunny,Peak,40.6,27.2,False,5.3,Damaged,75.3,Stop
Express,18.6,45.5,3,Cloudy,Peak,47.7,96.2,False,0.5,Good,41.7,Stop
Freight,4.0,79.3,5,Rainy,Peak,65.2,89.4,False,2.9,Good,92.2,Slow Down
Local,15.5,16.3,3,Foggy,Peak,49.3,75.2,True,3.5,Good,76.1,Slow Down
Freight,1.6,61.4,2,Foggy,Peak,8.3,35.6,True,11.7,Maintenance,26.1,Slow Down
Freight,20.9,64.4,2,Cloudy,Peak,53.5,94.4,True,0.5,Maintenance,92.4,Slow Down
Freight,5.9,60.7,2,Sunny,Non-Peak,54.4,27.3,True,1.5,Damaged,83.4,Stop
Express,8.3,100.9,1,Foggy,Non-Peak,58.7,65.0,True,9.6,Maintenance,79.7,Slow Down
Local,5.2,52.2,1,Cloudy,Peak,38.4,68.1,False,20.0,Good,76.4,Move
Local,26.9,33.4,4,Cloudy,Non-Peak,87.9,66.8,True,2.4,Good,68.5,Move
Freight,8.0,94.1,2,Foggy,Non-Peak,51.9,47.2,False,2.2,Good,61.7,Slow Down
Express,25.9,89.2,3,Cloudy,Peak,88.6,99.9,False,1.1,Good,55.3,Slow Down
Freight,9.1,56.0,0,Cloudy,Peak,30.6,72.5,False,0.5,Damaged,38.1,Stop
Local,1.6,48.9,3,Rainy,Non-Peak,22.8,50.9,True,7.5,Good,80.9,Slow Down
Express,2.6,62.3,4,Stormy,Non-Peak,53.6,77.8,True,7.0,Good,70.4,Stop
Freight,6.4,78.7,1,Foggy,Non-Peak,54.9,72.0,True,4.6,Good,43.5,Slow Down
Freight,9.3,45.7,5,Sunny,Non-Peak,31.4,70.7,True,5.8,Damaged,28.4,Stop
Freight,7.1,92.2,1,Foggy,Peak,25.3,57.8,False,3.3,Damaged,53.1,Stop
Freight,3.5,83.7,3,Rainy,Peak,16.4,52.4,False,18.0,Damaged,95.7,Stop
Express,1.3,65.6,4,Stormy,Non-Peak,38.4,95.8,True,9.3,Damaged,75.8,Stop
Local,7.0,63.8,4,Cloudy,Peak,83.2,71.8,True,1.5,Good,71.5,Slow Down
Freight,9.7,58.9,2,Stormy,Non-Peak,72.1,10.3,True,2.6,Good,91.8,Stop
Local,5.7,66.2,2,Stormy,Non-Peak,21.2,49.3,False,2.5,Maintenance,90.1,Stop
Express,4.7,24.1,9,Foggy,Non-Peak,20.5,29.1,True,3.7,Maintenance,50.9,Slow Down
Express,22.7,40.3,2,Foggy,Non-Peak,36.4,89.2,True,13.1,Maintenance,42.8,Slow Down
Express,3.9,44.6,2,Rainy,Peak,87.0,90.4,False,4.7,Good,92.1,Slow Down
Local,9.3,120.0,4,Sunny,Peak,85.8,66.4,True,0.5,Good,71.8,Slow Down
Local,3.8,71.7,5,Rainy,Non-Peak,37.7,33.5,True,2.0,Maintenance,63.2,Slow Down
Local,7.8,60.8,4,Sunny,Non-Peak,18.6,24.2,False,0.5,Maintenance,87.4,Stop
Express,0.7,28.5,3,Foggy,Peak,51.1,99.5,True,7.4,Good,35.9,Slow Down
Local,9.7,50.4,2,Cloudy,Non-Peak,61.4,15.7,False,14.6,Damaged,71.2,Stop
Local,7.5,70.9,5,Rainy,Peak,32.2,34.3,False,5.0,Damaged,56.4,Stop
Local,1.4,23.4,4,Cloudy,Peak,50.1,40.4,False,1.2,Good,70.9,Slow Down
Express,8.7,74.1,1,Foggy,Peak,57.7,95.5,False,1.6,Good,44.6,Slow Down
Freight,2.8,77.3,2,Sunny,Peak,38.3,24.7,False,3.3,Damaged,21.7,Stop
Freight,9.3,60.6,4,Foggy,Peak,84.4,91.3,True,0.9,Maintenance,76.9,Slow Down
Local,11.9,79.8,4,Stormy,Peak,40.8,52.1,False,9.5,Damaged,44.5,Stop
Local,15.6,54.0,4,Sunny,Non-Peak,66.0,37.3,False,2.9,Damaged,84.9,Stop
Local,10.9,94.2,3,Sunny,Peak,71.8,76.8,True,17.9,Damaged,66.5,Stop
Freight,4.0,37.0,3,Cloudy,Peak,59.3,44.7,True,0.5,Good,52.4,Slow Down
Local,0.5,72.8,2,Foggy,Non-Peak,55.8,91.9,False,0.5,Maintenance,91.1,Stop
Local,33.8,94.9,1,Rainy,Peak,43.6,77.1,False,7.4,Damaged,54.0,Stop
Freight,5.4,29.5,2,Foggy,Non-Peak,91.2,80.8,True,2.7,Damaged,91.7,Stop
Freight,0.9,60.9,2,Sunny,Non-Peak,48.9,61.9,False,2.7,Good,92.6,Move
Local,1.4,39.9,8,Foggy,Peak,8.1,42.2,True,6.0,Maintenance,72.6,Slow Down
Freight,0.7,79.1,1,Rainy,Peak,30.8,32.7,False,1.0,Damaged,49.9,Stop
Local,6.8,48.1,5,Cloudy,Peak,13.9,65.2,False,1.4,Good,93.9,Slow Down
Local,15.3,32.4,5,Rainy,Non-Peak,39.6,88.4,False,0.5,Damaged,43.4,Stop
Freight,6.9,65.2,1,Stormy,Peak,79.9,64.7,True,5.1,Damaged,30.0,Stop
Express,1.1,57.0,3,Cloudy,Peak,23.6,29.9,True,0.5,Maintenance,70.3,Slow Down
Local,14.0,50.6,5,Cloudy,Peak,41.1,16.3,False,3.8,Good,84.3,Slow Down
Local,0.1,49.8,5,Cloudy,Peak,52.4,85.0,False,2.4,Good,74.1,Slow Down
Local,0.7,21.6,7,Cloudy,Peak,72.9,39.5,True,2.6,Maintenance,53.7,Slow Down
Express,3.2,43.0,1,Sunny,Non-Peak,20.9,29.7,False,9.9,Maintenance,82.8,Slow Down
Freight,14.7,28.9,4,Stormy,Non-Peak,28.9,85.9,True,1.7,Good,62.9,Stop
Express,4.6,63.9,3,Rainy,Peak,12.5,98.6,True,4.7,Damaged,66.6,Stop
Local,3.4,55.1,3,Foggy,Peak,82.4,82.1,True,2.1,Good,72.8,Slow Down
Local,5.8,20.6,3,Sunny,Non-Peak,57.8,87.1,True,3.1,Damaged,56.6,Stop
Freight,3.9,57.2,1,Rainy,Non-Peak,56.1,60.1,False,4.4,Good,69.1,Slow Down
Freight,3.6,49.0,3,Stormy,Non-Peak,39.0,40.8,True,0.5,Good,81.2,Stop
Express,1.3,83.3,5,Rainy,Peak,41.6,47.5,False,1.3,Good,76.0,Slow Down
Freight,2.3,109.5,6,Stormy,Peak,61.8,13.8,True,0.5,Good,96.3,Stop
Express,9.4,76.9,1,Rainy,Non-Peak,59.5,29.6,False,5.6,Damaged,55.1,Stop
Freight,19.6,36.4,5,Stormy,Peak,4.1,21.6,False,2.2,Maintenance,74.2,Stop
Express,1.5,42.0,1,Cloudy,Non-Peak,38.1,28.1,False,2.1,Maintenance,63.6,Slow Down
Local,4.1,58.8,4,Cloudy,Peak,66.8,46.4,True,0.5,Maintenance,33.0,Slow Down
Freight,0.7,5.9,3,Sunny,Peak,31.0,68.7,False,4.7,Damaged,44.3,Stop
Express,6.9,54.7,2,Cloudy,Non-Peak,51.9,98.7,True,13.8,Good,44.9,Move
Freight,2.3,96.6,1,Stormy,Non-Peak,22.0,96.8,False,0.5,Maintenance,71.3,Stop
Freight,23.7,73.2,3,Rainy,Non-Peak,4.1,71.5,False,0.5,Damaged,79.0,Stop
Express,8.6,37.3,3,Cloudy,Peak,60.1,80.5,False,5.6,Damaged,56.9,Stop
Freight,4.1,71.1,3,Sunny,Peak,72.2,87.5,True,3.4,Damaged,56.9,Stop
Local,6.8,51.1,4,Cloudy,Peak,56.4,55.1,False,11.8,Maintenance,89.4,Slow Down
Freight,38.3,54.9,5,Stormy,Peak,44.5,95.4,True,14.4,Maintenance,59.9,Stop
Local,1.4,67.1,2,Rainy,Non-Peak,57.6,27.4,True,9.1,Maintenance,51.7,Slow Down
Freight,4.7,90.1,3,Rainy,Peak,16.7,58.4,True,1.2,Good,91.5,Slow Down
Local,5.1,28.0,2,Stormy,Non-Peak,71.2,46.1,True,3.3,Damaged,64.5,Stop
Local,3.8,24.6,7,Stormy,Peak,85.9,89.3,False,2.0,Damaged,79.3,Stop
Freight,14.9,90.1,4,Sunny,Peak,6.4,82.4,False,3.2,Damaged,66.6,Stop
Local,0.4,57.7,6,Rainy,Peak,13.1,50.7,True,0.5,Good,71.3,Slow Down
Local,14.4,62.5,3,Sunny,Non-Peak,54.6,76.8,False,3.5,Maintenance,65.9,Slow Down
Local,8.8,63.1,1,Stormy,Non-Peak,77.1,93.8,True,8.6,Good,49.7,Stop
Express,9.6,95.7,2,Rainy,Peak,29.2,55.2,False,7.6,Good,71.5,Slow Down
Freight,12.8,86.0,7,Stormy,Non-Peak,88.9,68.3,True,3.2,Damaged,44.9,Stop
Freight,4.6,68.4,3,Rainy,Peak,10.6,97.0,False,1.7,Maintenance,67.1,Slow Down
Freight,2.3,60.4,2,Stormy,Peak,35.0,36.7,True,20.0,Good,50.7,Stop
Local,3.0,50.7,6,Foggy,Peak,83.9,18.1,True,10.6,Good,83.5,Slow Down
Express,9.1,56.2,3,Sunny,Non-Peak,40.0,93.0,True,1.1,Good,50.1,Slow Down
Express,1.9,53.1,3,Cloudy,Non-Peak,51.9,23.3,False,4.0,Good,69.7,Move
Express,10.6,40.7,3,Sunny,Non-Peak,24.3,60.2,True,1.3,Good,89.8,Slow Down
Local,25.5,75.5,2,Foggy,Peak,41.3,11.7,False,0.6,Damaged,63.3,Stop
Local,16.9,74.3,4,Foggy,Peak,53.7,72.6,True,14.5,Maintenance,76.3,Slow Down
Freight,29.2,51.6,5,Foggy,Non-Peak,59.3,91.9,True,1.7,Maintenance,63.3,Slow Down
Local,3.0,67.9,3,Sunny,Non-Peak,16.1,78.6,False,0.5,Good,62.9,Stop
Express,6.1,53.5,4,Foggy,Non-Peak,81.1,13.9,False,0.9,Damaged,27.1,Stop
Express,2.2,78.5,3,Rainy,Peak,52.0,83.6,True,2.5,Damaged,56.4,Stop
Local,18.6,38.1,1,Cloudy,Peak,45.2,78.7,False,1.4,Damaged,69.7,Stop
Local,14.0,70.4,1,Cloudy,Non-Peak,16.7,61.8,False,4.0,Damaged,60.4,Stop
Freight,5.8,24.4,4,Foggy,Non-Peak,66.6,13.8,True,0.5,Damaged,79.6,Stop
Local,24.4,63.6,4,Stormy,Non-Peak,83.3,28.0,False,3.2,Good,88.7,Stop
Local,5.4,46.2,2,Rainy,Non-Peak,37.7,67.8,True,0.5,Good,73.6,Slow Down
Express,3.3,37.4,3,Sunny,Non-Peak,50.9,81.4,True,1.2,Damaged,73.1,Stop
Express,1.9,61.6,1,Cloudy,Non-Peak,27.9,45.4,False,7.4,Good,68.7,Move
Freight,11.6,39.0,3,Foggy,Peak,58.6,39.2,True,3.1,Damaged,78.3,Stop
Express,8.5,59.4,2,Foggy,Non-Peak,84.4,85.6,True,0.5,Maintenance,75.3,Slow Down
Freight,0.1,50.1,3,Cloudy,Non-Peak,92.9,88.5,True,7.1,Good,59.1,Move
Local,19.9,32.5,2,Foggy,Non-Peak,58.9,73.5,False,8.3,Damaged,58.2,Stop
Local,23.6,45.9,5,Cloudy,Peak,38.2,68.3,True,2.9,Good,77.9,Slow Down
Freight,2.3,43.3,2,Foggy,Non-Peak,11.1,26.3,False,1.0,Good,66.9,Slow Down
Local,1.0,38.6,3,Rainy,Non-Peak,63.5,45.5,True,6.0,Damaged,78.9,Stop
Freight,6.9,69.8,2,Cloudy,Non-Peak,55.2,34.9,False,6.2,Maintenance,80.2,Slow Down
Local,13.6,76.1,1,Sunny,Non-Peak,53.5,34.8,False,2.0,Damaged,87.9,Stop
Local,16.8,70.0,2,Sunny,Peak,41.9,65.0,False,4.7,Maintenance,80.0,Slow Down
Express,4.2,50.1,1,Rainy,Non-Peak,57.8,97.2,True,11.7,Maintenance,77.0,Slow Down
Freight,2.6,60.3,2,Cloudy,Peak,93.2,59.7,False,4.4,Good,63.0,Move
Local,8.2,71.9,3,Sunny,Non-Peak,41.5,60.2,False,2.0,Damaged,73.6,Stop
Express,7.9,24.0,5,Foggy,Non-Peak,68.4,77.1,True,5.2,Maintenance,62.4,Slow Down
Express,4.9,30.0,1,Foggy,Non-Peak,46.1,66.7,False,0.5,Good,68.3,Stop
Local,1.0,95.4,6,Foggy,Peak,32.9,11.7,True,2.2,Maintenance,85.7,Stop
Express,6.6,37.8,2,Rainy,Peak,43.1,53.5,False,2.2,Damaged,61.3,Stop
Express,3.7,26.0,2,Stormy,Peak,25.7,91.4,True,0.5,Maintenance,49.1,Stop
Freight,1.1,70.2,0,Cloudy,Non-Peak,42.6,74.8,False,5.4,Good,94.9,Move
Express,0.2,70.0,3,Cloudy,Peak,64.7,55.6,True,1.9,Damaged,91.1,Stop
Express,12.6,49.2,3,Stormy,Non-Peak,74.9,26.2,True,11.8,Good,75.0,Stop
Freight,17.8,56.6,4,Sunny,Peak,65.7,27.9,False,0.8,Maintenance,69.1,Stop
Express,9.2,51.1,1,Sunny,Non-Peak,78.8,83.6,True,6.5,Damaged,55.1,Stop
Freight,11.2,71.5,3,Rainy,Non-Peak,20.3,86.7,True,2.4,Good,49.9,Slow Down
Freight,1.5,88.9,3,Foggy,Non-Peak,80.3,64.9,False,3.2,Damaged,83.3,Stop
Express,9.8,63.0,2,Foggy,Peak,51.0,26.5,True,4.6,Maintenance,79.5,Slow Down
Express,22.6,53.2,0,Sunny,Peak,31.8,45.8,True,6.0,Damaged,78.8,Stop
Freight,0.5,80.5,0,Cloudy,Non-Peak,31.7,61.4,False,5.0,Good,79.7,Slow Down
Local,24.4,69.6,2,Foggy,Peak,68.3,63.8,True,1.4,Good,73.1,Slow Down
Freight,11.1,61.3,3,Cloudy,Non-Peak,44.5,24.3,False,2.1,Good,82.3,Move
Express,28.5,38.6,4,Sunny,Non-Peak,37.2,73.5,True,8.6,Good,85.7,Move
Freight,10.5,45.9,4,Sunny,Peak,65.3,14.8,False,20.0,Maintenance,53.9,Stop
Express,23.2,53.2,4,Cloudy,Non-Peak,18.8,50.5,False,3.7,Maintenance,76.1,Slow Down
Freight,5.1,49.7,4,Rainy,Peak,59.4,39.8,False,5.4,Damaged,68.8,Stop
Express,5.0,24.2,3,Sunny,Non-Peak,56.7,27.6,True,2.3,Maintenance,53.0,Slow Down
